Label,Unnamed: 0,energyscore,it,ES_ratio
Scenario A,122.5,170.33087380321064,24.5,350.2756138975223
Scenario B,123.5,117.69643018950529,24.5,242.03591760942842
Scenario C,124.5,118.41118327083976,24.5,243.505766079993
Scenario D,125.5,99.28705443962295,24.5,204.17809859941025
Scenario E,126.5,97.7250065710742,24.5,200.96583728778586
