,Model,Label,location,energyscore,it
38,MOBS_NEU-GLEAM_FLU,Scenario C,US,26.278574384877626,6
39,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.701507370840314,6
40,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.220398688166565,6
41,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.42390143776456,6
42,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.42963576967848,7
43,MOBS_NEU-GLEAM_FLU,Scenario B,US,20.944759556851395,7
44,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.258270740841994,7
45,MOBS_NEU-GLEAM_FLU,Scenario D,US,22.90636859206073,7
46,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.493483274020996,7
47,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.64798253997297,7
48,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.001431602920075,8
49,MOBS_NEU-GLEAM_FLU,Scenario B,US,22.235985680192766,8
50,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.100592308893347,8
51,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.22054737793338,8
52,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.222916978332595,8
53,MOBS_NEU-GLEAM_FLU,Scenario F,US,25.938942669371734,8
54,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.509657114365194,9
55,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.665372639314104,9
56,MOBS_NEU-GLEAM_FLU,Scenario C,US,26.341059402698363,9
57,MOBS_NEU-GLEAM_FLU,Scenario D,US,23.163152937152233,9
58,MOBS_NEU-GLEAM_FLU,Scenario E,US,27.426622982826935,9
59,MOBS_NEU-GLEAM_FLU,Scenario F,US,24.838343666395414,9
60,MOBS_NEU-GLEAM_FLU,Scenario A,US,22.25262083572349,10
61,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.646351252218363,10
62,MOBS_NEU-GLEAM_FLU,Scenario C,US,24.671979229330567,10
63,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.06175092618877,10
64,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.59645955557068,10
65,MOBS_NEU-GLEAM_FLU,Scenario F,US,24.58642502705838,10
66,MOBS_NEU-GLEAM_FLU,Scenario A,US,22.81231470977761,11
67,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.421177281963587,11
68,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.03480547656556,11
69,MOBS_NEU-GLEAM_FLU,Scenario D,US,22.93299417127177,11
70,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.65867659859494,11
71,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.254644105829037,11
72,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.946241243230663,12
73,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.142970384970862,12
74,MOBS_NEU-GLEAM_FLU,Scenario C,US,25.803465197796395,12
75,MOBS_NEU-GLEAM_FLU,Scenario D,US,24.294222117609156,12
76,MOBS_NEU-GLEAM_FLU,Scenario E,US,26.413486207679096,12
77,MOBS_NEU-GLEAM_FLU,Scenario F,US,26.186245158895925,12
78,MOBS_NEU-GLEAM_FLU,Scenario A,US,21.899885606768173,13
79,MOBS_NEU-GLEAM_FLU,Scenario B,US,21.72375635916396,13
