,Model,Label,location,energyscore,it
49,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0051740735046055,8
50,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8423533380369799,8
51,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9175645275962573,8
52,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8565716672778523,8
53,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8158216279216367,8
54,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8671803241972971,9
55,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0046861673037717,9
56,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8427388942481809,9
57,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9172254781516841,9
58,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8564914808170924,9
59,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8163315423612126,9
60,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.867727972993517,10
61,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0049798733232123,10
62,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8431136730770993,10
63,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9177196264858759,10
64,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8574248311166731,10
65,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.81616386544966,10
66,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8675267895802258,11
67,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0048044110584504,11
68,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8430585614021697,11
69,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9171953189304995,11
70,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.857110924273137,11
71,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8162368642126222,11
72,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.867416989037401,12
73,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0050294657597663,12
74,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8428794696361547,12
75,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.917328590465563,12
76,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8559785340327926,12
77,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8159868276961202,12
78,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.86711079949821,13
79,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0052207288698467,13
80,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8423898653300604,13
81,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9175245492144448,13
82,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8573991231000295,13
83,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8162971028350539,13
84,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8678372178438553,14
85,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0044163729117266,14
86,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8426027475507915,14
87,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9175941214614554,14
88,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8571719194325762,14
89,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8157424514928974,14
90,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.866780688944923,15
91,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0048659300026341,15
92,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8431178847821352,15
93,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.917216601842221,15
94,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8574606889160847,15
95,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8162466258759852,15
96,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8679544619722538,16
97,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0049590939397766,16
98,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8421196614954746,16
99,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9172392679460191,16
100,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8565655844679451,16
101,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8162030982228246,16
102,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8677288377015602,17
103,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0045649662315355,17
104,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8425730210882775,17
105,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9172162420733758,17
106,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8573028010117042,17
107,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8161689160173643,17
108,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8677779092897605,18
109,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0047198745888324,18
110,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8414920363144706,18
111,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9172616581317555,18
112,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8578277189851898,18
113,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8160392574942928,18
114,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.868038199895716,19
115,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.005179509238651,19
116,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8434404198514585,19
117,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9174651119637276,19
118,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8572860011609023,19
119,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8159730839775875,19
120,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8672775128319271,20
121,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0048851955615976,20
122,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.842493261190447,20
123,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.917586749208088,20
124,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8574025395253807,20
125,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8158468299329509,20
126,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8673911385667811,21
127,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0049929742710169,21
128,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.842711475205485,21
129,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9175946548437433,21
130,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8572936902909284,21
131,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.815820625188581,21
132,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8676588612997784,22
133,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0050196938013294,22
134,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8431713144679153,22
135,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9172490345784212,22
136,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8578023514817922,22
137,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8154896033418323,22
138,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8674598584591462,23
139,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0048708453915653,23
140,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8426001392317817,23
141,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9174887897970441,23
142,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8574899732222467,23
143,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.815700829025385,23
144,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8680638825269957,24
145,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0046536825385763,24
146,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8425956081354754,24
147,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9176933050092421,24
148,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8571155488080165,24
149,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8161787841852192,24
150,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8675535920295758,25
151,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0050150002600855,25
152,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.842420619462744,25
153,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9171286041776584,25
154,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8575197122342102,25
155,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.816306949529472,25
156,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8675742909902133,26
157,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0046762386966972,26
158,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8428648448395537,26
159,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9170263409480437,26
160,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8574619076701265,26
161,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.816119857056453,26
162,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8676385902510313,27
163,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0049020469376706,27
164,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8424471156768454,27
165,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9173975526174984,27
166,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8571413532452755,27
167,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.816403823876223,27
168,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8674421158378675,28
169,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0047576175527815,28
170,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8422740251828319,28
171,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.917330278806265,28
172,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8564810509311317,28
173,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8160795387622996,28
174,MOBS_NEU-GLEAM_FLU,Scenario A,US,0.8671683283597186,29
175,MOBS_NEU-GLEAM_FLU,Scenario B,US,1.0047951777488604,29
176,MOBS_NEU-GLEAM_FLU,Scenario C,US,0.8431290709519242,29
177,MOBS_NEU-GLEAM_FLU,Scenario D,US,0.9174772856325591,29
178,MOBS_NEU-GLEAM_FLU,Scenario E,US,0.8566298513776142,29
179,MOBS_NEU-GLEAM_FLU,Scenario F,US,0.8164076314696576,29
