Label,energyscore,it,ES_ratio
Scenario A,0.8676540638091483,24.5,1.0675982136661757
Scenario B,1.0049010060255057,24.5,1.2364726492886637
Scenario C,0.8426869863246904,24.5,1.0368776668092254
Scenario D,0.9173880713847684,24.5,1.1287930375722515
Scenario E,0.857128451026646,24.5,1.0546470550500233
Scenario F,0.8161896432542646,24.5,1.0042742165300957
