Label,energyscore,it,ES_ratio
Scenario A,25152.075332710927,24.5,1.1472151947584428
Scenario B,27396.029929894306,24.5,1.2495645546495884
Scenario C,24672.65807206605,24.5,1.125348419998668
Scenario D,24951.569389459648,24.5,1.1380698871965618
Scenario E,23106.529070059965,24.5,1.0539154680737584
Scenario F,20109.99904424062,24.5,0.9172402740113783
