Label,Unnamed: 0,energyscore,it,ES_ratio
Scenario A,297.0,75.94440833437659,49.5,1.0992732054306635
Scenario B,298.0,85.45007560792726,49.5,1.2368649723919116
Scenario C,299.0,73.32275693174176,49.5,1.061325564464032
Scenario D,300.0,77.37696231115993,49.5,1.1200090072697866
Scenario E,301.0,71.55028954358869,49.5,1.0356696149342446
Scenario F,302.0,65.20321335423793,49.5,0.9437975345427512
