Model,Unnamed: 0,energyscore,it,ES_ratio
MOBS_NEU-GLEAM_FLU,297.0,77.25113837566444,49.5,1.118187742427179
NIH-Flu_TS,301.0,56.5160944144923,49.5,0.8180540164577077
NotreDame-FRED,298.0,78.04134324660302,49.5,1.1296257279283497
PSI-M2,302.0,91.58724448873474,49.5,1.3256987055901563
USC-SIkJalpha,299.0,95.77768450664041,49.5,1.3863541051340746
UT-ImmunoSEIRS,300.0,223.27819848431574,49.5,3.231886933267955
